,title,content,time,like,comments,scrap
141,로션은 보통 아침 점심 저녁 언제바르는게 좋을까,ㅇㅇ,2018-08-19 12:58:31,0,6,0
142,비밀게시판에 엘리베이터 보니까 고등학교때 생각난다,점심먹고 엘베타려는데 꼰딱이 와서 타지 말라는거야. 어이가 없었지. 학생은 이용 자제하라고 써있긴 하지만 사용하지 말라고는 안써있었거든. 그리고 꼰딱 한명만 타고 올라갈바엔 여러명이 같이 타고 올라가는게 낫다고 생각했지. 그래도 계단으로 가라는거야.어이가 없어서 2층으로 잽싸게 올라가서 위로가는버튼 눌렀지. 역시나 안에는 그 꼰딱이 있었어. 꼰딱 야마도는게 훤히 보이더라. 뭐라뭐라 하는데 그냥 탔음.내려서 혼나고 담임한테도 불려갔는데 꼰딱 놀리니까 재밌더라. 그리고 아직도 난 내가 잘못했다고 생각하지 않음. 편리하라고 만든 엘리베이터를 학생은 사용하지 말고 교사만 사용해도 되는 이유를 찾지 못하겠거든.,2018-08-19 12:54:15,1,4,0
143,미디어와공동체,손영준 교수님거 첫날 출석 점수에 들어가나요?,2018-08-19 12:46:51,0,2,0
144,[선수추가모집중] 국민대 오버워치 대표 2라운드 소식,오버워치 대학경쟁전 국민대 팀의 소식입니다!8/15(수) 2차 그룹라운드 국민대 VS 광운대국민대가 광운대를 짜릿한 역전승으로 꺾고 값진 1승을 추가 했습니다!!8/15(수) 경기 갓-조의 멋진 활약이 담긴 하이라이트 영상 공유 드리면서8/20(월) 21시 UNIST와의 경기 많은 응원 부탁드릴게요~★ 또한 새로운 국민대 대표팀 선수들도 추가 모집하고 있으니 3500점이상 학우분들이면 망설이지 마시고 지원해주세요! ★[경기 하이라이트]https://clips.twitch.tv/GentleMushySoymilkBatChest[8/20(월) 중계 방송 링크]www.twitch.tv/ssrnjs9[지원 및 문의]https://www.facebook.com/GGKookmin/,2018-08-19 12:11:20,0,1,0
145,서울 지하철역 화장실 사용후기 게시판 개설했어요.,사용후기 종종 올릴게요.,2018-08-19 11:44:30,0,9,0
146,Hsk6급,hsk6급 지필로 보는게 낫나요 아님 ibt가 낫나요??ㅠㅠ,2018-08-19 11:23:32,0,3,0
147,이번부터 온라인으로 성적표 나온다는데,나 매일도 안왔는데등록금 고지서 어떻게 받음?,2018-08-19 11:14:50,0,2,0
148,과쟈,추천좀요!,2018-08-19 10:19:03,0,16,0
149,자전거로 국토종주 해 본 사람 있어?,ㅈㄱㄴ,2018-08-19 09:40:21,0,5,0
150,내가 취업할 6년뒤에는 시장 쫌 나아질라나?,ㅇㅈ? 지금보다는 낫겠지,2018-08-19 08:51:35,0,9,0
151,국민대 주변에 프로토 파는곳,있나요?,2018-08-19 08:39:56,0,3,0
152,아침인증,첫날인데 인증까먹었다. 오늘 부터시작이다!,2018-08-19 06:25:21,0,8,0
153,남자들아 여자 배꼽피어싱 어때??,이상한가...? 막 kcm의 배꼽 문신을 보는 그런 느낌은 아니지..?,2018-08-19 04:22:52,0,23,0
154,국가근로,이거 합격 언제나오냐,2018-08-19 03:53:15,0,0,0
155,학교근처에 오피스텔은 없어???,자취 하려는데 왜 다 원룸이고 오피스텔은 아예 멀리가야 하나???,2018-08-19 02:59:47,0,4,0
156,쏘카가뭐에여?,궁금,2018-08-19 02:57:57,0,13,0
157,노트북 13인치 쓰는사람들 답변좀!,화면 작아서 쓰는데 지장없어???항상 15인치만 써왔는데13막상 써보면 크게 불편함 못느껴???휴대용으로 가벼워서 쓰는건가?,2018-08-19 02:52:34,0,9,0
158,정릉시장 농협 아이폰 충전기,정릉시장 농협에서 아이폰 충전기를 잃어버렸는데혹시 주우신분 있으신가요ㅠㅠㅠ???? 두번째 atm기 위에 올려뒀었는데 다시 가니 없어져있어여..보시거나 습득하신분 꼭 댓글 부탁드려요...,2018-08-19 01:53:52,0,0,0
159,꿀삐 먹었는데,왜케 배아프냐;,2018-08-19 01:51:59,0,12,0
160,전공수업,싸인해주나요.....,2018-08-19 01:40:58,0,2,0
161,실험아..,목12화실 실험13명이라고 2명더들어와달라햇던사람인디아직도 13이다 가망없으면 물리실험교수님한테 직접가서 넣어달라고해야됨? 아님 정정기간때라도 외쿡인이나 아무나 2명정도는들어올까,2018-08-19 01:32:12,0,11,0
162,에타 성비가 어떻게 됩니까?,남 8 여2 ?,2018-08-19 01:29:28,0,4,0
163,나이들면서 점점 관상이란게 신용이 감,한 칠~팔할은 생긴대로 논다,2018-08-19 01:22:21,0,10,0
164,뚱뚱한데 안못생긴 사람들은,보통 뚱뚱하면 못생겨지기 마련인데뚱뚱한데도 거부감안들고? 빼면 괜찮아질것같은 사람들은진짜로 빼면 이뻐지고 잘생겨짐??주변에 뚱뚱한 친구들중 살 많이뺀애들 몇 있는데뺀 후랑 빼기전이랑 얼굴은 비슷하더라,2018-08-19 01:18:10,0,3,0
165,군대갈거면 어디가 제일 나음?,"합격만 한다면 의경가고 싶긴 한데솔직히 의경 합격은 운빨을 너무 많이 받아서..육군, 공군, 해군 등 어디 가는게 그나마 젤 나음?",2018-08-19 01:09:55,0,25,0
166,못생긴 사람들이랑 일해보니까,외모지상주의;; 이거 무시할순 없는거같다.. 하나 일하는 사람들중에 이 사람좀 못생겼다 하는 사람들 (못생긴 뚱뚱한분 포함) 표정관리도 잘 못하고 좀만 마찰생기면 공격적이고 맞춰줄라 해도 힘듬. 또 조용한데 은근 성격 장애 친구없는 찐따 유형포힘..그런사람들 대부분 공통점이 못생기거나 뚱보.. 대학 시절 방학동안 일하면서 사람 바뀔때 마다 느낌.. 물론 예외도 있지만. 왠만하면 성격이 십중팔구 그랬었음. 이제 얼굴을 보면 그사람 성격이 보인다. 거의 예상대로고. 나만의 경험이어서 일반화시키긴 힘들지만.. 원래 외모랑 성격이랑 별개라고 생각했던 사람이었습니다,2018-08-19 01:05:00,1,23,0
167,얘들아,우리형 유벤투스 데뷔전 치른다,2018-08-19 00:59:16,1,0,0
168,주사 아무 느낌 안나게 놓아주는데 없음?,주사맞는거 공포느낀다.ㄷㄷㄷ,2018-08-19 00:38:49,0,3,0
169,기능사 따서 공군 vs 기사 따서 산업체,ㄷㅎ?,2018-08-19 00:34:19,0,2,0
170,이제 매일 6시에 일어나서 기상인증글 올린다,아침에 일어나서 공부할꺼야!,2018-08-19 00:22:32,0,8,0
171,휴학후 복학하면 국가장학금 1차신청 가능한가여?,휴학중에는 국장신청해도 안된다고 하길래여..,2018-08-19 00:07:38,0,0,0
